"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Myl7",38.210824198186,8.45677971636608,1.30268079626916,6.49182803691129,8.48010231938073e-11,2.96468321319187e-08
"Hba-x",22.055032943445,7.66206785352685,1.42328518365199,5.38336795853298,7.310488000253e-08,1.46531421477071e-05
"Hbb-y",18.264033524599,7.39027476150776,1.42391456715123,5.19011107267003,2.10168673455641e-07,3.85300691226665e-05
"Ceacam10",10.4238168154612,6.5837868821213,1.50605460412219,4.37154593472304,1.23369887558282e-05,0.00149566090295456
"Myl3",15.2721343233901,6.16151354076334,1.43155739635331,4.30406322265453,1.6769377452955e-05,0.00193918500961748
"Gm33272",194.403022701176,5.58380199091259,1.08448944267498,5.14878409248474,2.62180458527874e-07,4.74862510005967e-05
"Actc1",76.5878448660464,5.41672048007817,0.660238999339678,8.2041813426586,2.32167443264154e-16,1.29265673132964e-13
"Muc2",13.7091444807826,5.12890113485426,1.34003151560788,3.82744814216374,0.000129478651514153,0.0096480873041053
"Gm7859",29.5233877993005,4.05697604800143,0.795313185593565,5.10110497536086,3.37676194485033e-07,5.90265840894592e-05
"Tph1",99.5932719269003,3.44607015821286,0.474001165342304,7.27017233327739,3.59029171968534e-13,1.63554107339484e-10
"Gm19439",115.884408647603,3.34241638273596,0.6177681049717,5.41047094506291,6.28592215943731e-08,1.3309333496172e-05
"Thbs4",26.5150059504418,3.27588826456205,0.8399759270161,3.8999787484377,9.62011318633681e-05,0.00779847156073787
"Gm42427",65.4858382855314,3.17862404785683,0.632765612848017,5.02338303996981,5.07691472931253e-07,8.3869515522808e-05
"Krt20",15.3840543496862,3.14732354197812,0.908942082843835,3.46262275824109,0.000534937829871428,0.0261671706746366
"Ttn",24.9682592194523,2.89027721600566,0.782583503200781,3.69325088528492,0.000221405395015446,0.0140816123770431
"Plin4",29.7179971158108,2.84682669407522,0.716512602627862,3.97317044199122,7.09222613931874e-05,0.00623493775160109
"Firre",98.7298539871928,2.70275029968568,0.642473094996713,4.20679141388716,2.59022010484261e-05,0.00286314550265434
"Opalin",184.803539333085,2.67880845810478,0.635440607743988,4.21567086751882,2.49036748928065e-05,0.00277316255306341
"Mog",306.303319880377,2.66235167517891,0.524977407803031,5.07136428274226,3.94973891962311e-07,6.70830850462612e-05
"Rnase4",38.0821843841588,2.62734496127682,0.712100659198812,3.68956962381253,0.000224633746746757,0.0140816123770431
"Myrf",109.34717857332,2.59028641048324,0.637429206195045,4.06364563359942,4.83121554280177e-05,0.00456777756320371
"Ttyh2",155.876255109091,2.43236437956827,0.531564516497313,4.57585919315321,4.74269468119484e-06,0.000648153901294564
"Cldn11",126.916495721839,2.40603074711327,0.614821267935696,3.9133824293224,9.10122230003837e-05,0.00753175278840607
"Nfe2l3",38.0671598243833,2.3998593394439,0.588934360453468,4.07491819223462,4.60305256716305e-05,0.00446436704788143
"Tmem98",72.5836654126998,2.39483663768366,0.692862527281443,3.45643838912777,0.00054736432016871,0.0262892262782627
"Trf",2481.13627933389,2.35339207021969,0.457980581389808,5.13862850489858,2.76750907201935e-07,4.89458398584317e-05
"Fa2h",179.791062781681,2.3410585637129,0.568629081835218,4.11702221799361,3.8379908608752e-05,0.0038722494370159
"Mal",558.341945978224,2.33553303666276,0.50400559381728,4.63394268895649,3.58766356103797e-06,0.00050404996554284
"Lpcat2",75.319821675457,2.2840760506521,0.665552471819399,3.43184969985641,0.000599479694155811,0.0280855930109785
"Gjb1",81.2289521176923,2.27147341057511,0.585640345733302,3.87861496757181,0.000105052876148295,0.00809876865198625
"P2rx7",35.4574171842916,2.26762301068031,0.659780441006684,3.43693578915495,0.000588335061292067,0.0278127074729674
"Arsg",146.358298496232,2.26672398106329,0.567285520557377,3.99573741779299,6.44931869322666e-05,0.00583297367340308
"Selplg",122.155296593059,2.25573254102043,0.50974511879534,4.42521655989823,9.63455821316153e-06,0.00120799768353102
"Hapln2",103.067574155498,2.23711812791062,0.623505402971547,3.58796911341714,0.000333263757287829,0.0189054870313507
"Mag",861.976298496653,2.20543058210215,0.496470372625484,4.44221992631539,8.9035486280928e-06,0.00113429700445864
"Thpo",82.6717938431942,2.17448984594667,0.52476601717336,4.14373220594487,3.41698739408004e-05,0.00349439261872144
"C1qb",219.651194355183,2.15745362133944,0.5845356851558,3.69088436536497,0.000223475720195365,0.0140816123770431
"Il10ra",63.8268829781407,2.13069852065594,0.633782216684313,3.36187804669383,0.000774143056280677,0.0340283408335305
"Bcas1",147.920098174975,2.10686211673825,0.576785328635344,3.65276648371591,0.000259430138315235,0.0157258599568263
"Cspg4",96.6956455948119,2.10518115782794,0.605381162727722,3.47744741237476,0.000506212339466064,0.0256225255865096
"Adora2a",47.7606088499758,2.08661905476028,0.62522540597762,3.33738686049967,0.000845701452545578,0.0358124786932892
"Pdlim2",151.878623842112,2.06557726725653,0.597207391530878,3.45872689546196,0.00054273492233699,0.0262616442417568
"P2ry12",95.008855640036,2.05905953556108,0.557959184140752,3.69034078851484,0.00022395382242556,0.0140816123770431
"Pllp",228.105134217825,2.04856874671153,0.526924895820972,3.88778128146663,0.000101164721703115,0.00796235215373258
"Ugt8a",247.24766304241,2.02891491896827,0.59345394268961,3.41882456753588,0.000628922609087326,0.0290910571766454
"Cd82",122.436963877595,2.0129281765911,0.466693730131423,4.31316738715185,1.60932180262344e-05,0.0018754212913828
"Plekhf1",187.448175114547,2.00189271236792,0.525114456182226,3.81229785011522,0.00013768082241136,0.0101458617809312
"Vsir",85.5615623910312,1.98682830060659,0.554939802043543,3.58025914394711,0.000343253616005806,0.0192542224231913
"Apod",414.642130530892,1.95312801468731,0.552960405470309,3.53212995969597,0.000412226712268403,0.0219751920763507
"Gpr6",45.1626034236261,1.94966136446638,0.585434529323059,3.33028078600144,0.000867584477236375,0.0363297979005416
"Tmem119",138.379808333936,1.94714750075465,0.5842671686533,3.33263206495533,0.000860286299360337,0.0361248154700669
"Csf1r",316.32839824235,1.94030607092269,0.518925444480453,3.7390844707284,0.000184691664057277,0.0127044419343428
"Col6a2",79.859553499671,1.90079057725875,0.59504927433092,3.19434147599965,0.00140150232635073,0.0492261319439966
"C1qc",146.039836067575,1.89645168271817,0.569801720233161,3.32826598337076,0.000873883888870085,0.0364919347260666
